X,Y
478725,2842846
477911,2842246
472552,2842216
469381,2842512
467130,2843643
463342,2847006
460350,2849900
460601,2857001
458800,2859580
458460,2865155
457323,2870038
457272,2872766
460354,2879921
463885,2883841
468005,2884366
